tau,n_seeds,final_size,duration,speed,strategy,size_std,duration_std
0.2,1,0.004545454545454545,0.0,0.0,high,0.0,0.0
0.2,1,0.004545454545454545,0.0,0.0,low,0.0,0.0
0.2,1,0.005136363636363638,0.07,0.085,random,0.0034194679889271726,0.30915673928807724
0.2,3,0.013636363636363636,0.0,0.0,high,0.0,0.0
0.2,3,0.031818181818181815,1.0,3.999999999999999,low,0.0,0.0
0.2,3,0.01515909090909091,0.16,0.19,random,0.005732913245578026,0.5154887420847137
0.2,5,0.022727272727272728,0.0,0.0,high,0.0,0.0
0.2,5,0.031818181818181815,1.0,1.9999999999999991,low,0.0,0.0
0.2,5,0.025999999999999995,0.3,0.4416666666666667,random,0.00824225180983923,0.6419192328537427
0.2,10,0.045454545454545456,0.0,0.0,high,0.0,0.0
0.2,10,0.045454545454545456,0.0,0.0,low,0.0,0.0
0.2,10,0.05113636363636364,0.535,0.7266666666666666,random,0.010507987030660127,0.8846968080710222
0.3,1,0.004545454545454545,0.0,0.0,high,0.0,0.0
0.3,1,0.004545454545454545,0.0,0.0,low,0.0,0.0
0.3,1,0.004613636363636365,0.015,0.015,random,0.0005538976512693756,0.12185748327926267
0.3,3,0.013636363636363636,0.0,0.0,high,0.0,0.0
0.3,3,0.031818181818181815,2.0,1.9999999999999996,low,0.0,0.0
0.3,3,0.013954545454545457,0.05,0.0575,random,0.0019068162828980006,0.24039331256010033
0.3,5,0.022727272727272728,0.0,0.0,high,0.0,0.0
0.3,5,0.031818181818181815,1.0,1.9999999999999991,low,0.0,0.0
0.3,5,0.023409090909090914,0.12,0.125,random,0.0026077828865796173,0.3552902416038111
0.3,10,0.045454545454545456,0.0,0.0,high,0.0,0.0
0.3,10,0.045454545454545456,0.0,0.0,low,0.0,0.0
0.3,10,0.047181818181818186,0.265,0.2916666666666667,random,0.004614820199313081,0.5255052605773536
0.5,1,0.004545454545454545,0.0,0.0,high,0.0,0.0
0.5,1,0.004545454545454545,0.0,0.0,low,0.0,0.0
0.5,1,0.00465909090909091,0.025,0.025,random,0.0007114396915077213,0.1565167321316987
0.5,3,0.013636363636363636,0.0,0.0,high,0.0,0.0
0.5,3,0.013636363636363636,0.0,0.0,low,0.0,0.0
0.5,3,0.013931818181818186,0.065,0.065,random,0.0011233840737108363,0.247144496216384
0.5,5,0.022727272727272728,0.0,0.0,high,0.0,0.0
0.5,5,0.031818181818181815,2.0,0.9999999999999996,low,0.0,0.0
0.5,5,0.02313636363636364,0.09,0.09,random,0.0013040904954920655,0.2868999090082545
0.5,10,0.045454545454545456,0.0,0.0,high,0.0,0.0
0.5,10,0.045454545454545456,0.0,0.0,low,0.0,0.0
0.5,10,0.04618181818181819,0.14,0.16,random,0.0019030010113951124,0.34785776565376275
