tau,n_seeds,final_size,duration,speed,t_half,t_peak,peak_rate,t_double,avg_rate,strategy
0.05,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.05,1,0.031818181818181815,2.0,2.9999999999999996,,1.0,5.0,1.0,3.0,low
0.05,1,0.0399090909090909,0.86,1.992,,0.6,4.86,1.0,1.992,random
0.05,3,1.0,11.0,19.727272727272727,6.0,6.0,142.0,2.0,19.727272727272727,high
0.05,3,0.031818181818181815,1.0,3.999999999999999,,1.0,4.0,1.0,4.0,low
0.05,3,0.17027272727272727,2.76,7.641,7.5,1.62,22.4,1.5,7.641,random
0.05,5,1.0,7.0,30.714285714285715,3.0,3.0,145.0,2.0,30.714285714285715,high
0.05,5,0.031818181818181815,1.0,1.9999999999999991,,1.0,2.0,,2.0,low
0.05,5,0.32754545454545464,3.6,12.052222222222222,4.7,2.0,41.56,1.6,12.052222222222222,random
0.05,10,1.0,6.0,35.0,1.0,1.0,154.0,1.0,35.0,high
0.05,10,0.2409090909090909,3.0,14.333333333333334,,2.0,20.0,2.0,14.333333333333334,low
0.05,10,0.8977272727272727,4.12,45.81333333333334,2.0,1.86,122.0,1.06,45.81333333333334,random
0.05,15,1.0,6.0,34.166666666666664,1.0,1.0,149.0,1.0,34.166666666666664,high
0.05,15,0.2409090909090909,2.0,19.0,,1.0,19.0,1.0,19.0,low
0.05,15,1.0,3.26,66.55666666666666,1.1,1.1,174.38,1.0,66.55666666666666,random
0.05,20,1.0,6.0,33.333333333333336,1.0,1.0,144.0,1.0,33.333333333333336,high
0.05,20,0.2409090909090909,2.0,16.5,,1.0,30.0,1.0,16.5,low
0.05,20,1.0,2.8,74.66666666666666,1.0,1.0,185.02,1.0,74.66666666666666,random
0.05,30,1.0,6.0,31.666666666666668,1.0,1.0,134.0,1.0,31.666666666666668,high
0.05,30,0.2409090909090909,1.0,23.0,,1.0,23.0,,23.0,low
0.05,30,1.0,2.4,82.33333333333334,1.0,1.0,182.88,1.0,82.33333333333334,random
0.05,50,1.0,6.0,28.333333333333332,1.0,1.0,114.0,1.0,28.333333333333332,high
0.05,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.05,50,1.0,2.1,83.3,1.0,1.0,166.82,1.0,83.3,random
0.05,75,1.0,6.0,24.166666666666668,1.0,1.0,90.0,1.0,24.166666666666668,high
0.05,75,1.0,1.0,145.0,1.0,1.0,145.0,1.0,145.0,low
0.05,75,1.0,1.9,79.75,1.0,1.0,143.0,1.0,79.75,random
0.05,100,1.0,6.0,20.0,1.0,1.0,65.0,4.0,20.0,high
0.05,100,1.0,1.0,120.0,1.0,1.0,120.0,1.0,120.0,low
0.05,100,1.0,1.76,74.4,1.0,1.0,118.94,1.0,74.4,random
0.1,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.1,1,0.031818181818181815,2.0,2.9999999999999996,,1.0,5.0,1.0,3.0,low
0.1,1,0.011181818181818182,0.3,0.49,,0.26,0.82,1.0,0.49,random
0.1,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.1,3,0.031818181818181815,1.0,3.999999999999999,,1.0,4.0,1.0,4.0,low
0.1,3,0.020090909090909093,0.32,0.5285714285714286,,0.3,0.8,1.0,0.5285714285714286,random
0.1,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
0.1,5,0.031818181818181815,1.0,1.9999999999999991,,1.0,2.0,,2.0,low
0.1,5,0.06009090909090909,1.06,2.3970000000000002,,0.74,4.76,1.5333333333333334,2.3970000000000002,random
0.1,10,0.759090909090909,5.0,31.4,5.0,5.0,99.0,3.0,31.4,high
0.1,10,0.2409090909090909,5.0,8.6,,5.0,20.0,4.0,8.6,low
0.1,10,0.15645454545454546,2.42,6.553999999999999,7.0,1.58,15.06,1.85,6.553999999999999,random
0.1,15,0.759090909090909,3.0,50.666666666666664,1.0,1.0,148.0,1.0,50.666666666666664,high
0.1,15,0.2409090909090909,3.0,12.666666666666666,,2.0,32.0,2.0,12.666666666666666,low
0.1,15,0.36599999999999994,3.42,15.302547619047619,4.090909090909091,2.08,42.12,2.0833333333333335,15.302547619047619,random
0.1,20,0.759090909090909,2.0,73.5,1.0,1.0,144.0,1.0,73.5,high
0.1,20,0.2409090909090909,2.0,16.5,,1.0,25.0,1.0,16.5,low
0.1,20,0.8182727272727273,3.9,42.02142857142857,1.868421052631579,1.78,110.66,1.28,42.02142857142857,random
0.1,30,0.759090909090909,2.0,68.5,1.0,1.0,134.0,1.0,68.5,high
0.1,30,0.2409090909090909,1.0,23.0,,1.0,23.0,,23.0,low
0.1,30,1.0,3.06,67.57666666666667,1.0,1.0,173.06,1.0,67.57666666666667,random
0.1,50,0.759090909090909,2.0,58.5,1.0,1.0,114.0,1.0,58.5,high
0.1,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.1,50,1.0,2.18,81.31666666666666,1.0,1.0,165.84,1.0,81.31666666666666,random
0.1,75,0.759090909090909,2.0,46.0,1.0,1.0,90.0,1.0,46.0,high
0.1,75,1.0,3.0,48.333333333333336,3.0,3.0,113.0,3.0,48.333333333333336,low
0.1,75,1.0,2.0,75.4,1.0,1.0,142.8,1.0,75.4,random
0.1,100,0.759090909090909,2.0,33.5,1.0,1.0,65.0,,33.5,high
0.1,100,1.0,1.0,120.0,1.0,1.0,120.0,1.0,120.0,low
0.1,100,1.0,1.82,70.8,1.0,1.0,118.7,1.0,70.8,random
0.15,1,0.004545454545454545,0.0,0.0,,0.0,0.0,,0.0,high
0.15,1,0.031818181818181815,2.0,2.9999999999999996,,1.0,3.0,1.0,3.0,low
0.15,1,0.004636363636363636,0.02,0.02,,0.02,0.02,1.0,0.02,random
0.15,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.15,3,0.031818181818181815,1.0,3.999999999999999,,1.0,4.0,1.0,4.0,low
0.15,3,0.015272727272727276,0.18,0.21,,0.12,0.3,1.3333333333333333,0.21,random
0.15,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
