,macro_beta
0005.HK,0.14129190249590004
0939.HK,0.17022361770559208
1288.HK,0.277800207990224
1398.HK,0.17323289322836222
2388.HK,0.06012092788703905
3328.HK,0.1755053469034658
3988.HK,0.20367536986600007
8306.T,0.25437061351666784
8316.T,0.27066482854907803
8411.T,0.3475358335420924
ABCB,1.2838280743290038
ABN.AS,0.41032856924542066
ACA.PA,0.3377035762679319
ALLY,1.2795929297978508
AMTB,1.4253671349055663
AROW,1.1195343988881725
ASB,1.424856179900997
AUB,1.526501006730528
AXP,1.215173572952919
BAC,1.0166059504018472
BAMI.MI,0.5358072176123689
BANC,1.4644792666707631
BANR,1.1371836188307531
BARC.L,0.7328279968345731
BBVA.MC,0.5434007759484365
BG.VI,0.46797293883855673
BHRB,1.2317521077681461
BIRG.IR,0.444398232393498
BK,0.764045084490424
BKT.MC,0.40790441846214137
BMO.TO,0.5208672341470163
BMPS.MI,0.5542679876003999
BNP.PA,0.444885464641849
BNS.TO,0.3108246135813182
BOKF,1.182178073468111
BPE.MI,0.5931017500745545
BPOP,1.177434190875378
BSRR,1.257064972206612
BUSE,1.2292434968447254
C,1.1928849188328934
CABK.MC,0.4835213840318134
CAC,1.1794766098293652
CARE,1.1094886716862744
CASH,1.1086031647058494
CATY,1.3052674724181375
CBG.L,0.5513662345385432
CBK.DE,0.48792655729018686
CBSH,1.011838329857865
CBU,1.2075148667900506
CCB,1.3685848450997555
CCBG,1.0006147728160097
CFG,1.4300540255610823
CFR,1.1838363698076222
CHCO,0.8228694770285412
CIVB,1.0964468711205373
CM.TO,0.35977409418536965
CNOB,1.347211239031338
COF,1.405428574325975
COLB,1.5407013582601308
CPF,1.1777416205674525
CTBI,1.0648310340568616
CVBF,1.1683484928806447
DANSKE.CO,0.3448059213445027
DBK.DE,0.6233320821937788
DCOM,1.4081546856398848
DNB.OL,0.23710915947004219
EBC,1.3221493374440652
EBMT,0.7324037909750474
EBS.VI,0.44270013662382846
EFSC,1.1838768147355745
EGBN,1.5486200851905112
EQB.TO,0.4939688313554491
ETE.AT,0.42613655419766416
EUROB.AT,0.586597577140706
EWBC,1.5123973942982207
FBIZ,1.1510707157410722
FBK,1.3291472937792674
FBK.MI,0.47282346123509217
FBNC,1.2070634312669415
FBP,1.1868945221466154
FCBC,1.0708039993155651
FCF,1.0806289238512194
FCNCA,1.3122417997909486
FFBC,1.2368275409594394
FFIC,1.3405648209474592
FFIN,1.1373351682531914
FFWM,1.4753226336653025
FHN,1.3539237433948208
FISI,1.2633546229259325
FITB,1.2153156181751077
FMAO,1.3310495011709402
FMBH,1.1981395621302726
FMNB,1.0367903732173485
FNB,1.4174295406116562
FRBA,1.0439822068703903
FRME,1.1979015784389921
FSBW,1.0043965990762027
FULT,1.4079429619970063
GABC,0.9564346766186314
GBCI,1.4071559398159454
GLE.PA,0.568865918831664
GS,1.1329122719304134
GSBC,1.1883459220459303
HAFC,1.1698585485841737
HBAN,1.3011704720907893
HBCP,1.1704468765059566
HBNC,1.2884698854069885
HBT,1.1212011419297814
HFWA,1.2385341196843715
HIFS,1.4407098272238625
HOMB,1.1183264484388422
HOPE,1.31314103662554
HSBA.L,0.5646901530418004
HWC,1.404945325396964
IBOC,1.1224497578344739
INDB,1.392398754346191
INGA.AS,0.5107830125784332
ISP.MI,0.5296683547890043
ISTR,1.1065989667456924
JPM,0.8342259238237038
KBC.BR,0.4487034398624333
KEY,1.3323417340883572
LB.TO,0.3162327144720603
LCNB,1.0171119527517531
LKFN,1.081008898508522
LLOY.L,0.4563954094010148
MB.MI,0.5593732025702562
MBIN,1.3306754180697293
