,raw_beta
0005.HK,0.1410909792243576
0939.HK,0.16998155226830214
1288.HK,0.27740516393151593
1398.HK,0.17298654846952358
2388.HK,0.060035433295304884
3328.HK,0.17525577061600617
3988.HK,0.20338573457251763
8306.T,0.25400888736712074
8316.T,0.27027993131234407
8411.T,0.34704162237060976
ABCB,1.2820024145973734
ABN.AS,0.40974506405450917
ACA.PA,0.3372233469967795
ALLY,1.2777732926271712
AMTB,1.4233402004327815
AROW,1.1179423719563004
ASB,1.4228299720286
AUB,1.5243302554640565
AXP,1.21344554292815
BAC,1.0151602922302463
BAMI.MI,0.5350452762896392
BANC,1.4623967130341589
BANR,1.1355664939353858
BARC.L,0.7317858833376149
BBVA.MC,0.5426280362532836
BG.VI,0.46730746083023633
BHRB,1.230000502341011
BIRG.IR,0.4437662786499155
BK,0.7629585789280391
BKT.MC,0.40732436051978044
BMO.TO,0.5201265381348926
BMPS.MI,0.5534797942544779
BNP.PA,0.44425281803267685
BNS.TO,0.3103826073719497
BOKF,1.180496964488254
BPE.MI,0.5922583334181329
BPOP,1.1757598279042696
BSRR,1.2552773707779705
BUSE,1.227495458772158
C,1.191188584250149
CABK.MC,0.4828337954536695
CAC,1.1777993424490807
CARE,1.1079109302183163
CASH,1.1070266824675876
CATY,1.3034113249237416
CBG.L,0.5505821676125229
CBK.DE,0.48723270436279753
CBSH,1.0103994514514187
CBU,1.205797727780767
CCB,1.3666386575291776
CCBG,0.9991918547990786
CFG,1.4280204261245788
CFR,1.182152902657765
CHCO,0.8216993206044546
CIVB,1.0948876756639936
CM.TO,0.35926247967142366
CNOB,1.3452954456643913
COF,1.4034299933593055
COLB,1.5385104134720493
CPF,1.1760668204178617
CTBI,1.063316797704861
CVBF,1.1666870501698845
DANSKE.CO,0.34431559222768904
DBK.DE,0.622445676681507
DCOM,1.4061522280235697
DNB.OL,0.23677197986390883
EBC,1.3202691831984625
EBMT,0.7313622807173943
EBS.VI,0.44207059764677825
EFSC,1.1821932900712588
EGBN,1.5464178796260286
EQB.TO,0.4932663860497897
ETE.AT,0.4255305693600285
EUROB.AT,0.5857634097029691
EWBC,1.5102466989861276
FBIZ,1.1494338427858786
FBK,1.3272571881333641
FBK.MI,0.4721510855715531
FBNC,1.205346934218737
FBP,1.185206706170237
FCBC,1.0692812691454519
FCF,1.079092222208251
FCNCA,1.3103757344976712
FFBC,1.235068718044088
FFIC,1.3386584790780285
FFIN,1.1357178278479099
FFWM,1.4732246602860761
FHN,1.3519984045527753
FISI,1.2615580773385877
FITB,1.2135873861558137
FMAO,1.3291566905028416
FMBH,1.196435755214695
FMNB,1.0353160119127678
FNB,1.4154138937454894
FRBA,1.0424976184634744
FRME,1.1961981099466432
FSBW,1.0029683031367496
FULT,1.4059408054609812
GABC,0.9550745846328331
GBCI,1.40515490245992
GLE.PA,0.568056966588389
GS,1.131301221077351
GSBC,1.1866560421153483
HAFC,1.1681949585080882
HBAN,1.299320150710238
HBCP,1.1687824498018076
HBNC,1.2866376248167724
HBT,1.119606744816329
HFWA,1.236772869939354
HIFS,1.4386610747708508
HOMB,1.116736139265397
HOPE,1.3112736925781125
HSBA.L,0.5638871389203064
HWC,1.4029474316314299
IBOC,1.120853585134537
INDB,1.3904187023540187
INGA.AS,0.5100566567708982
ISP.MI,0.5289151431979876
ISTR,1.1050253345646799
JPM,0.8330396180350543
KBC.BR,0.44806536392533475
KEY,1.330447085808472
LB.TO,0.31578301770644196
LCNB,1.0156655750226562
LKFN,1.0794716565249545
